,CPI,i10Y,GDP,GDP_DEF,COM,i3M,M1,M2,M3,MB,RER
1995-Q1,89.93,5.31,110904.11,89.37,1465.71,3.89,138711.51,305107.03,410777.35,30306.33,102.21
1995-Q2,90.45,4.98,111563.96,89.69,1495.93,3.37,141557.53,311849.21,412754.34,29939.33,104.95
1995-Q3,90.77,4.73,113300.24,89.85,1477.73,2.86,146512.60,324256.53,419137.68,29791.67,104.40
1995-Q4,90.91,4.21,114559.39,89.95,1448.14,2.14,152048.58,336754.23,424451.24,30549.00,106.99
1996-Q1,91.02,4.36,112260.03,90.14,1469.83,1.77,157241.30,350346.46,435131.15,30796.67,105.19
1996-Q2,91.18,4.51,112740.95,89.95,1551.19,2.21,159745.46,355805.33,442684.34,30852.00,101.71
1996-Q3,91.36,4.45,113051.10,89.83,1509.70,2.31,162300.29,358510.65,449282.83,30899.00,102.24
1996-Q4,91.56,4.15,114982.50,89.80,1434.09,1.93,167133.21,365559.99,455151.33,32080.00,97.37
1997-Q1,91.66,3.82,112556.24,89.75,1499.20,1.82,172132.63,372053.58,464758.56,32794.67,91.74
1997-Q2,91.68,3.71,114848.81,89.59,1585.58,1.64,176553.43,380418.35,468375.05,32616.33,92.39
1997-Q3,91.74,3.63,116738.85,89.79,1552.83,1.50,181357.02,385423.86,469265.83,32358.67,92.13
1997-Q4,91.85,3.64,119365.07,89.80,1507.69,1.86,181350.07,385712.03,470349.39,33096.67,94.38
1998-Q1,91.75,3.05,116916.70,89.79,1429.43,1.21,190943.51,394410.71,472566.28,33275.67,94.31
1998-Q2,91.74,3.24,119098.64,89.64,1389.26,1.69,189338.49,391238.58,472583.08,33249.00,92.02
1998-Q3,91.81,3.18,120056.87,89.53,1277.09,1.83,191955.36,392598.18,474492.63,33281.00,92.88
1998-Q4,91.81,2.82,121086.04,89.43,1185.14,1.48,195695.36,395643.28,474958.48,34705.33,95.60
1999-Q1,92.04,2.55,118211.22,89.44,1176.64,1.28,201758.98,399656.46,477640.35,34608.67,94.26
1999-Q2,92.25,2.69,119782.20,89.57,1161.85,1.05,209456.72,408751.00,479931.83,34156.00,92.13
1999-Q3,92.69,3.16,121256.46,89.86,1177.74,1.17,212788.23,411411.35,481910.28,33853.67,91.50
1999-Q4,93.09,3.59,125749.84,90.17,1232.34,2.08,209747.94,405051.21,479453.14,35380.33,90.63
2000-Q1,93.51,3.80,123708.07,90.45,1259.36,2.26,208206.36,396379.46,474759.16,35514.33,88.87
2000-Q2,93.69,4.03,124885.55,90.95,1305.62,3.13,204586.96,388052.49,471251.41,34551.33,89.64
2000-Q3,94.12,3.91,126565.89,90.99,1301.51,3.44,201937.60,381139.08,471469.02,34258.00,89.96
2000-Q4,94.44,3.80,128978.79,91.57,1302.05,3.48,203218.27,377678.03,472561.81,34863.00,90.73
2001-Q1,94.57,3.45,126550.81,91.76,1312.71,3.43,202051.29,373642.96,478843.32,35478.00,91.87
2001-Q2,94.96,3.44,127626.84,92.20,1313.49,3.21,204154.46,374259.81,485984.41,35773.00,90.51
2001-Q3,95.04,3.35,128107.67,91.90,1258.72,3.07,205696.95,375152.79,487183.13,36121.67,92.16
2001-Q4,94.97,3.21,129145.83,91.84,1202.26,2.05,214165.89,387166.72,498266.45,37823.00,94.21
2002-Q1,95.14,3.57,127033.74,91.44,1274.79,1.71,215270.60,393587.25,498007.97,38968.67,93.71
